Course,"2023-11-09, 17:52","2023-11-09, 17:53","2023-11-09, 21:24","2023-11-09, 23:59","2023-11-10, 09:59","2023-11-13, 11:23","2023-11-13, 13:01","2023-11-14, 12:28","2023-11-16, 18:43","2023-11-17, 09:14","2023-11-18, 09:44","2023-12-20, 04:33"
STA 013,693,693,690,690,690,681,676,618,156,58,2,-44
STA 032,90,90,90,90,90,88,87,83,37,37,37,39
STA 035A,50,50,50,50,50,50,50,49,44,43,43,29
STA 035B,93,93,91,91,91,85,85,82,32,24,21,18
STA 100,536,536,527,527,527,492,483,379,-6,-10,-10,-19
STA 103,223,223,213,213,213,191,182,136,60,59,57,38
STA 104,73,73,71,71,71,66,66,62,57,56,56,47
STA 106,177,177,175,175,175,168,166,148,107,104,104,-12
STA 108,178,178,176,176,176,175,175,161,100,98,97,-22
STA 130A,73,73,67,67,67,62,59,39,16,17,16,-35
STA 130B,9,9,3,3,3,-5,-11,-25,-26,-26,-26,4
STA 131A,88,88,86,86,86,82,81,71,58,56,56,-17
STA 131B,63,63,59,59,59,53,51,40,36,36,35,10
STA 135,63,63,62,62,62,62,61,60,61,61,61,60
STA 137,22,22,19,19,19,11,6,-6,-14,-15,-15,-22
STA 138,64,64,60,60,60,59,56,52,51,51,51,22
STA 141A,68,68,64,64,64,55,53,41,17,17,16,-7
STA 141B,37,37,30,30,30,26,22,5,-2,-2,-2,-15
STA 141C,26,26,23,22,22,18,14,5,4,3,2,1
STA 142A,-14,-14,-18,-19,-19,-22,-25,-31,-31,-32,-32,-14
