Course,"2023-11-10, 11:25_x","2023-11-10, 11:25_y","2023-11-10, 11:26","2023-11-10, 11:27","2023-11-10, 19:23","2023-11-12, 18:23","2023-11-13, 13:01","2023-11-13, 16:04","2023-11-14, 07:54","2023-11-14, 12:29","2023-11-16, 18:43","2023-11-17, 09:14","2023-11-18, 09:44","2023-12-20, 04:33","2023-12-20, 10:46"
STA 013,690,690,690,690,690,690,676,671,652,618,156,58,2,-44,-54
STA 032,90,90,90,90,90,90,87,87,86,83,37,37,37,39,38
STA 035A,50,50,50,50,50,50,50,50,49,49,44,43,43,29,27
STA 035B,91,91,91,91,91,91,85,84,84,82,32,24,21,18,15
STA 090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STA 100,527,527,527,527,527,526,483,471,440,379,-6,-10,-10,-19,-29
STA 103,213,213,213,213,213,213,182,171,155,136,60,59,57,38,32
STA 104,71,71,71,71,71,71,66,65,64,62,57,56,56,47,49
STA 106,175,175,175,175,175,175,166,163,158,148,107,104,104,-12,-21
STA 108,176,176,176,176,176,176,175,174,168,161,100,98,97,-22,-32
STA 130A,67,67,67,67,67,67,59,57,49,39,16,17,16,-35,-20
STA 130B,3,3,3,3,3,2,-11,-15,-21,-25,-26,-26,-26,4,0
STA 131A,86,86,86,86,86,86,81,79,75,71,58,56,56,-17,-17
STA 131B,59,59,59,59,59,59,51,48,42,40,36,36,35,10,8
STA 135,62,62,62,62,62,62,61,60,60,60,61,61,61,60,60
STA 137,19,19,19,19,19,19,6,4,-2,-6,-14,-15,-15,-22,-23
STA 138,60,60,60,60,60,60,56,55,53,52,51,51,51,22,23
STA 141A,64,64,64,64,64,64,53,52,50,41,17,17,16,-7,-7
STA 141B,30,30,30,30,30,29,22,18,11,5,-2,-2,-2,-15,-17
STA 141C,22,22,22,22,22,22,14,13,5,5,4,3,2,1,-1
STA 142A,-19,-19,-19,-19,-19,-20,-25,-27,-31,-31,-31,-32,-32,-29,-32
STA 192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STA 194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STA 199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STA 396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
