Course,"2023-11-14, 12:28_x","2023-11-14, 12:28_y","2023-11-17, 09:19","2023-11-18, 09:45"
ECS 017,113,113,60,54
ECS 020,200,200,99,95
ECS 032,478,478,24,3
ECS 034,26,26,-20,-20
ECS 036,458,458,138,121
ECS 050,69,69,19,19
ECS 092,0,0,0,0
ECS 098,98,98,98,98
ECS 111,85,85,62,62
ECS 120,-77,-77,-95,-95
ECS 122,45,45,-59,-59
ECS 129,21,21,16,16
ECS 132,-70,-70,-87,-87
ECS 140,-42,-42,-44,-45
ECS 150,133,133,133,133
ECS 152,-88,-88,-89,-89
ECS 154,-67,-67,-83,-83
ECS 160,21,21,22,22
ECS 163,-25,-25,-25,-25
ECS 164,-37,-37,-36,-36
ECS 165,24,24,10,10
ECS 170,-66,-66,-67,-67
ECS 171,-24,-24,-24,-26
ECS 179,-31,-31,-32,-32
ECS 188,34,34,28,28
ECS 189,81,81,55,54
ECS 193,37,37,37,37
